# GRS Heyer+09 
# disp^2/R [km^2/s^2/pc]     Gas surface density [g cm^-2]
0.007 0.118
0.008 0.689
0.009 0.361
0.011 1.923
0.011 0.144
0.012 1.123
0.012 0.474
0.013 0.414
0.014 0.823
0.014 0.561
0.014 0.356
0.014 2.143
0.015 0.346
0.016 1.091
0.016 0.888
0.018 1.968
0.021 0.847
0.021 0.627
0.022 0.985
0.023 0.448
0.025 0.289
0.026 1.386
0.027 0.484
0.029 3.335
0.030 1.361
0.030 0.798
0.034 7.746
0.035 1.806
0.036 0.983
0.040 3.064
0.040 2.435
0.040 0.628
0.041 0.714
0.041 0.200
0.041 0.948
0.043 1.101
0.044 1.788
0.045 0.696
0.048 6.812
0.050 0.623
0.050 0.529
0.052 0.708
0.058 1.047
0.063 2.597
0.066 0.689
0.078 4.346
0.087 3.374
0.089 2.614
0.096 4.671
0.105 3.892
0.110 2.300
0.109 0.811
0.111 7.942
0.111 3.415
0.127 1.051
0.133 5.233
0.141 0.391
0.166 7.191
0.177 1.506
0.184 4.813
0.182 1.221
0.192 5.779
0.222 2.588
0.244 5.157
0.285 6.066
0.327 2.891
0.364 4.122
0.586 5.078
0.029 0.415
0.024 0.536
0.022 0.546
0.020 0.425
0.019 0.425
0.018 0.466
0.016 0.467
0.016 0.520
0.017 0.668
0.017 0.731
0.018 0.589
0.011 0.378
0.011 0.358
0.009 0.779
0.010 0.778
0.019 0.991
0.019 1.065
0.022 1.250
0.023 1.141
0.024 1.140
0.023 1.341
0.024 1.293
0.028 1.039
0.030 1.002
0.027 0.869
0.027 0.794
0.025 0.688
0.450 4.123
0.456 3.701
0.270 8.848
0.285 7.936
0.081 5.648
0.083 5.349
0.062 4.489
0.068 4.172
0.056 2.867
0.056 2.621
0.053 2.191
0.054 2.038
0.066 2.223
0.065 2.070
0.067 1.891
0.081 2.026
0.088 1.952
0.088 1.816
0.097 1.781
0.088 1.464
0.077 1.548
0.080 1.547
0.115 1.406
0.107 1.407
0.108 1.286
0.123 1.482
0.065 1.083
0.066 0.972
0.051 1.068
0.049 1.088
0.043 1.282
0.044 1.376
0.044 1.533
0.046 1.505
0.051 1.503
0.032 1.487
0.036 1.511
0.037 1.566
0.026 1.954
0.025 1.955
0.025 1.786
0.026 1.574
0.027 0.664
0.028 0.663
0.032 0.724
0.036 0.697
0.036 0.660
0.056 0.633
0.056 0.568
0.060 0.519
0.032 1.135
0.033 1.114
0.036 2.836
0.036 2.500
0.045 2.492
0.045 2.158
0.094 3.057
0.099 3.166
0.105 2.839
