# Canameras et al.2017b
# column (1): log(Sigma_H2),  [Msun pc^-2]
# column (2): log(Sigma_SFR), [Msun yr^-1 kpc^-2]
# Assumes Chabrier IMF
       4.0619551      2.85800
       3.9973805      2.72092
       4.3996872      2.87853
       4.2914576      3.03804
       4.2824908      3.05878
       4.2403880      2.88275
       4.0515826      2.81539
       4.1685606      2.76474
       4.2952295      2.78940
       4.3654101      3.04119
       4.4182834      3.24048
       4.3732885      3.22377
       4.2987654      3.11266
       4.4281711      3.01499
       4.3952505      2.98684
       4.4111569      3.03128
       4.0463082      3.03631
       4.3473758      2.83998
       4.2047244      2.79750
       4.3740044      2.69854
       4.4605979      2.83322
       4.4421482      3.08245
       4.4124478      3.32179
       4.3215397      3.27014
       4.3040138      3.15621
       4.3200724      3.03071
       4.2992943      3.06949
       4.2682481      3.14829
       4.4948274      3.19964
       4.4310342      3.07869
       4.3804235      2.80264
       4.3034500      2.97865
       4.2927806      3.07427
       4.1281581      2.91405
       4.2307486      2.93546
       4.2841110      2.89250
       4.4427490      3.04608
       4.4150124      3.25950
       4.3531690      3.38803
       4.3585974      3.40764
       4.3483701      3.21066
       4.3931274      2.97351
       4.2651171      2.91237
       4.2236425      2.98430
       4.3798995      3.14913
       4.4031089      3.10301
       4.4788396      3.01358
       4.3475375      2.94372
       4.3453249      3.01869
       4.4052652      3.14084
       4.3915535      3.14788
       4.2925328      3.21995
       4.3800624      2.92017
       4.2693035      3.17267
       4.1945395      3.32622
       4.4136335      3.41383
       4.7081585      3.39298
       4.4396888      3.00109
       4.2597392      2.79389
       4.2017323      3.03441
       4.3628003      3.10984
       4.4404923      3.16835
       4.3399922      3.24331
       4.1166234      2.99401
       4.1787893      3.06958
       4.1599727      3.05524
       3.9797806      3.17141
       4.2282331      3.21774
       4.2099972      2.73953
       4.3304636      3.02383
       4.3556623      3.20171
       4.4311227      3.26010
       4.4825443      3.18882
       4.5870017      2.96233
       4.2279057      2.91695
       4.2956674      3.13085
       4.3611867      3.21218
       3.9921748      2.81333
       4.0569000      2.72656
       4.1042126      2.93948
       4.2198782      3.16624
       4.1861925      3.26946
       4.3487289      3.08610
       4.0361901      2.76554
       4.1596656      2.80047
       4.2884195      2.83868
       4.2924004      3.32290
       4.3048546      3.29255
       4.3363314      3.12060
       4.1084436      2.88413
       4.4026632      3.12540
       4.2835013      3.08108
       4.2651127      3.08363
       4.1383992      3.09875
       4.1462879      3.09819
       4.2250919      3.10311
       4.0948957      3.02526
       4.1387453      2.91664
       4.0833526      2.76359
       4.2270398      2.67260
       4.1154435      2.86193
       4.0700610      2.67809
       4.1369426      2.78350
       4.4090505      2.84025
       4.3978639      3.08744
       4.2231200      3.26165
       4.2934238      2.77898
       4.2881869      3.05557
       4.3276275      3.05246
       4.0859979      3.08920
       4.2417594      2.72333
       4.1745723      2.95594
       4.3592767      2.77334
       4.3336766      2.93997
       3.9457765      2.67614
       4.2601265      2.98097
       4.2981826      2.92940
       4.4828568      2.92403
       4.4016239      2.72493
       4.3800383      2.76748
       4.3333247      2.76569
       4.1285954      2.70142
       4.3659990      2.77117
       4.4715447      2.74993
       4.4682030      2.98689
       4.3986579      2.78213
       4.2060830      2.70401
       4.1949868      2.79891
       4.4023498      2.90261
       4.5263146      3.06105
       4.0047786      3.08761
       4.2382129      2.88422
       4.3544156      2.68207
       4.1816138      2.84704
       4.3643165      3.09293
       4.4676768      3.19982
       4.2241123      3.15665
       4.3075529      2.80585
       4.2980487      3.01325
       3.7531546      3.17333
       4.0594919      3.12874
       3.8886908      3.03811
       4.2680622      2.92749
       4.0906018      2.78158
       3.9117409      2.83191
       3.9963269      2.90772
       4.2855500      3.05144
       4.2285231      3.00771
       4.1836297      3.16882
       4.1038917      3.00305
       4.2074529      2.69343
       4.1210825      2.98668
       4.0970813      2.81199
       4.2397860      2.87883
       4.2974709      2.82894
       4.3023780      2.80256
       4.3519360      2.92408
       4.2928481      2.76849
       4.2097717      2.67878
       4.2209198      2.88791
       4.1596816      2.87244
       4.1901415      2.77652
       4.3507348      3.13384
       4.3561774      3.09072
       4.3119065      3.14856
       4.2310465      3.15841
       4.2891535      3.05043
       4.2407596      2.81560
       4.2530994      2.81916
       4.3187767      2.97532
       4.3336313      3.13242
       4.3574162      3.23930
       4.1022504      3.27346
       4.4522430      3.16289
       4.4030521      2.99435
       4.2032350      2.69371
       4.1308113      2.69397
       4.1640636      2.68700
       4.3332574      2.95145
       4.5891448      3.02786
       4.2716288      3.07914
       4.2036707      2.86176
       4.0133821      2.83808
       4.2012878      2.82288
       4.2361296      2.97563
       4.3225874      2.86976
       4.2016301      2.66871
