# table taken from http://adsabs.harvard.edu/abs/2012ApJ...745...69K
# paper from http://adsabs.harvard.edu/abs/1989ApJ...344..685K
# \tablecomments{All data are taken from \citet{kennicutt98a}, adjusted to the same IMF and CO $X$ factor as the high-$z$ data following \citet{daddi10a}.}
#
#\colhead{Object} \colhead{D/SB\tablenotemark{a}} \colhead{$\log \Sigma$} \colhead{$\log \torb$} \colhead{$\log \Sigma/\torb$} \colhead{$\log \dot{\Sigma}_*$} \colhead{$\log \tffgmc$\tablenotemark{b}} \colhead{$\log \tfft$\tablenotemark{c}} \colhead{$\log \Sigma/\tff$\tablenotemark{d}} \colhead{$100\epsff$\tablenotemark{e}}
#
#\colhead{} \colhead{} \colhead{($\msun/{\rm pc}^2$)} \colhead{(Myr)} \colhead{($\msun/{\rm pc}^2/{\rm Myr}$)} \colhead{($\msun/{\rm pc}^2/{\rm Myr}$)} \colhead{(Myr)} \colhead{(Myr)} \colhead{($\msun/{\rm pc}^2/{\rm Myr}$)} \colhead{} 
#
NGC-253  SB   2.60   1.18    1.42    1.00    1.63   -0.28    2.88    1.32  
NGC-520  SB   1.85   1.66    0.19   -0.18    1.82    0.21    1.64    1.50  
NGC-660  SB   2.91   1.41    1.50    0.86    1.55   -0.04    2.95    0.81  
NGC-828  SB   1.86   1.34    0.52   -0.82    1.82   -0.11    1.97    0.16  
NGC-891  SB   1.92   1.46    0.46   -0.44    1.80    0.01    1.91    0.44  
NGC-1097  SB   2.97   1.28    1.69    1.55    1.54   -0.17    3.14    2.53  
NGC-1614  SB   1.90   1.72    0.18   -0.16    1.81    0.26    1.64    1.59  
NGC-1808  SB   2.08   1.51    0.57    0.60    1.76    0.05    2.03    3.71  
NGC-2146  SB   2.77   0.95    1.82    1.24    1.59   -0.50    3.27    0.93  
NGC-2623  SB   2.38   2.09    0.29    0.44    1.69    0.63    1.75    4.91  
NGC-2903  SB   2.08   1.11    0.97   -0.00    1.76   -0.34    2.42    0.38  
NGC-3034  SB   2.15   1.30    0.85   -0.13    1.74   -0.15    2.30    0.37  
NGC-3079  SB   1.53   1.58   -0.05   -1.01    1.90    0.13    1.40    0.38  
NGC-3256  SB   1.50   1.15    0.35   -0.42    1.91   -0.31    1.81    0.59  
NGC-3351  SB   1.74   1.64    0.10   -1.35    1.85    0.19    1.55    0.13  
NGC-3504  SB   2.12   1.32    0.80    0.06    1.75   -0.13    2.25    0.64  
NGC-3627  SB   3.36   1.38    1.98    1.63    1.44   -0.07    3.43    1.57  
NGC-3690  SB   1.51   1.97   -0.46   -0.54    1.90    0.52    0.99    2.93  
NGC-4736  SB   3.20   1.36    1.84    1.30    1.48   -0.09    3.29    1.01  
NGC-5194  SB   3.06   1.38    1.68    1.43    1.52   -0.07    3.13    1.97  
NGC-5236  SB   1.71   1.89   -0.18   -0.51    1.85    0.44    1.27    1.65  
NGC-6240  SB   1.98   2.13   -0.15    0.08    1.79    0.67    1.31    5.91  
NGC-6946  SB   4.01   0.78    3.23    2.74    1.28   -0.67    4.68    1.13  
NGC-7252  SB   1.66   2.23   -0.57    0.24    1.87    0.77    0.89   22.37  
NGC-7552  SB   4.25   1.91    2.34    2.87    1.22    0.46    3.79   11.97  
IC-342    SB   3.15   1.28    1.87    1.53    1.49   -0.17    3.32    1.60  
NGC-224  D   0.68   2.66   -1.98   -3.37    1.41    1.36   -0.68    0.20  
NGC-598  D   1.03   2.60   -1.57   -2.71    1.33    1.30   -0.27    0.36  
NGC-628  D   0.94   2.90   -1.96   -3.08    1.35    1.60   -0.41    0.21  
NGC-772  D   0.91   2.86   -1.95   -2.68    1.36    1.56   -0.45    0.58  
NGC-925  D   1.33   2.30   -0.97   -1.04    1.25    1.00    0.33    4.23  
NGC-1058  D   0.91   2.87   -1.96   -2.16    1.36    1.57   -0.45    1.92  
NGC-1569  D   0.88   2.54   -1.66   -2.39    1.36    1.24   -0.36    0.93  
NGC-2336  D   0.97   2.20   -1.23   -3.23    1.34    0.90    0.07    0.05  
NGC-2403  D   0.86   2.49   -1.63   -2.55    1.37    1.19   -0.33    0.60  
NGC-2841  D   0.98   2.11   -1.13   -1.90    1.34    0.81    0.17    0.85  
NGC-2903  D   0.85   2.43   -1.58   -2.74    1.37    1.13   -0.28    0.34  
NGC-2976  D   1.14   2.40   -1.26   -1.38    1.30    1.10    0.04    3.74  
NGC-3031  D   0.81   2.60   -1.79   -2.80    1.38    1.30   -0.49    0.49  
NGC-3310  D   0.93   2.43   -1.50   -2.79    1.35    1.13   -0.20    0.25  
NGC-3338  D   0.88   2.51   -1.63   -2.70    1.36    1.20   -0.32    0.42  
NGC-3368  D   1.22   2.52   -1.30   -2.15    1.28    1.22    0.00    0.70  
NGC-3486  D   1.16   2.69   -1.53   -1.97    1.29    1.39   -0.13    1.45  
NGC-3521  D   0.99   2.34   -1.35   -2.25    1.34    1.04   -0.05    0.63  
NGC-3631  D   1.06   2.51   -1.45   -2.52    1.32    1.20   -0.14    0.42  
NGC-3675  D   1.06   2.48   -1.42   -2.20    1.32    1.17   -0.11    0.82  
NGC-3726  D   1.13   2.59   -1.46   -2.51    1.30    1.29   -0.16    0.44  
NGC-3893  D   1.39   2.54   -1.15   -1.94    1.24    1.24    0.15    0.80  
NGC-3938  D   0.59   2.68   -2.09   -2.60    1.44    1.38   -0.79    1.53  
NGC-4178  D   1.02   2.48   -1.46   -2.11    1.33    1.17   -0.15    1.10  
NGC-4189  D   1.21   2.68   -1.47   -1.98    1.28    1.38   -0.07    1.22  
NGC-4254  D   1.14   2.65   -1.51   -2.31    1.30    1.35   -0.16    0.70  
NGC-4258  D   0.63   2.51   -1.88   -3.12    1.43    1.20   -0.57    0.28  
NGC-4294  D   1.08   2.62   -1.54   -3.04    1.31    1.32   -0.23    0.15  
NGC-4299  D   1.09   2.52   -1.43   -2.45    1.31    1.22   -0.13    0.47  
NGC-4303  D   0.99   2.46   -1.47   -2.22    1.34    1.16   -0.17    0.89  
NGC-4321  D   1.01   2.72   -1.71   -2.62    1.33    1.41   -0.32    0.50  
NGC-4394  D   0.69   2.53   -1.84   -2.76    1.41    1.23   -0.54    0.60  
NGC-4402  D   1.52   2.20   -0.68   -2.17    1.20    0.90    0.62    0.16  
NGC-4501  D   0.61   2.70   -2.09   -3.02    1.43    1.40   -0.79    0.58  
NGC-4519  D   0.83   2.67   -1.84   -2.80    1.38    1.37   -0.54    0.55  
NGC-4535  D   0.81   2.45   -1.64   -2.56    1.38    1.14   -0.33    0.59  
NGC-4548  D   0.73   2.34   -1.61   -2.35    1.40    1.04   -0.31    0.91  
NGC-4561  D   1.04   2.54   -1.50   -2.46    1.32    1.24   -0.20    0.55  
NGC-4569  D   1.06   2.43   -1.37   -2.22    1.32    1.13   -0.07    0.70  
NGC-4571  D   1.10   2.54   -1.44   -2.30    1.31    1.24   -0.14    0.69  
NGC-4579  D   0.94   2.51   -1.57   -2.62    1.35    1.20   -0.26    0.44  
NGC-4639  D   0.25   2.40   -2.15   -3.79    1.52    1.10   -0.85    0.11  
NGC-4647  D   1.04   2.51   -1.47   -1.77    1.32    1.20   -0.16    2.45  
NGC-4651  D   0.65   2.43   -1.78   -2.46    1.42    1.13   -0.48    1.04  
NGC-4654  D   0.93   2.89   -1.96   -2.88    1.35    1.58   -0.42    0.34  
NGC-4689  D   1.17   2.58   -1.41   -2.56    1.29    1.28   -0.11    0.35  
NGC-4698  D   1.47   2.53   -1.06   -2.02    1.22    1.23    0.25    0.53  
NGC-4713  D   1.70   2.45   -0.75   -1.65    1.16    1.14    0.56    0.62  
NGC-4736  D   1.09   2.94   -1.85   -2.70    1.31    1.64   -0.22    0.33  
NGC-4826  D   1.03   2.41   -1.38   -1.94    1.33    1.11   -0.08    1.38  
NGC-5033  D   1.29   2.46   -1.17   -2.15    1.26    1.16    0.13    0.52  
NGC-5055  D   0.89   2.23   -1.34   -2.32    1.36    0.93   -0.04    0.52  
NGC-5194  D   1.11   2.57   -1.46   -2.05    1.31    1.27   -0.16    1.27  
NGC-5236  D   1.30   2.54   -1.24   -2.12    1.26    1.24    0.06    0.66  
NGC-5457  D   1.08   2.76   -1.68   -2.57    1.31    1.46   -0.23    0.46  
