# snapshot	 M*_built	 SFR_4	 SFR_10	 SFR_20	 SFR_100
# M*_built in [10^10 Msun].
# SFR_n in [Msun/yr], averaged over n Myr.
16	0.75	71.11	72.22	59.49	31.31
17	0.80	48.75	44.41	52.82	34.96
18	0.86	37.51	43.66	46.85	36.27
19	0.89	26.22	25.35	28.98	35.61
20	0.93	43.49	42.98	32.05	37.26
21	0.97	31.87	31.32	36.26	37.75
22	1.06	94.97	82.74	57.67	39.71
23	1.18	48.18	46.39	61.20	40.47
24	1.25	64.41	55.70	50.73	41.08
25	1.46	32.51	40.59	52.64	47.08
26	1.50	56.49	34.83	30.33	45.10
27	1.54	42.84	47.16	41.62	44.80
28	1.57	37.73	33.44	33.66	38.39
